genre,count,year
urban contemporary,131.0,2003
dance,94.0,2003
rock,75.0,2003
country,60.0,2003
soul,30.0,2003
quiet storm,15.0,2003
funk,11.0,2003
adult standards,1.0,2003
folk,1.0,2003
pop,160.0,2004
urban contemporary,142.0,2004
dance,91.0,2004
rock,72.0,2004
country,63.0,2004
soul,32.0,2004
quiet storm,11.0,2004
funk,10.0,2004
folk,2.0,2004
adult standards,1.0,2004
pop,182.0,2005
urban contemporary,144.0,2005
rock,102.0,2005
dance,91.0,2005
country,72.0,2005
soul,18.0,2005
quiet storm,11.0,2005
funk,10.0,2005
folk,2.0,2005
adult standards,1.0,2005
pop,212.0,2006
urban contemporary,144.0,2006
rock,110.0,2006
dance,105.0,2006
country,66.0,2006
soul,22.0,2006
funk,8.0,2006
quiet storm,4.0,2006
adult standards,3.0,2006
folk,2.0,2006
pop,230.0,2007
urban contemporary,135.0,2007
dance,126.0,2007
rock,103.0,2007
country,62.0,2007
soul,14.0,2007
funk,5.0,2007
folk,5.0,2007
quiet storm,3.0,2007
adult standards,2.0,2007
pop,244.0,2008
urban contemporary,159.0,2008
dance,137.0,2008
rock,106.0,2008
country,60.0,2008
soul,22.0,2008
folk,4.0,2008
quiet storm,3.0,2008
funk,2.0,2008
adult standards,1.0,2008
pop,295.0,2009
dance,156.0,2009
urban contemporary,155.0,2009
rock,105.0,2009
country,70.0,2009
soul,25.0,2009
quiet storm,5.0,2009
funk,1.0,2009
pop,327.0,2010
urban contemporary,164.0,2010
dance,161.0,2010
rock,79.0,2010
country,63.0,2010
soul,18.0,2010
quiet storm,6.0,2010
funk,4.0,2010
adult standards,3.0,2010
folk,1.0,2010
pop,350.0,2011
urban contemporary,171.0,2011
dance,161.0,2011
rock,87.0,2011
country,79.0,2011
soul,7.0,2011
funk,5.0,2011
folk,2.0,2011
adult standards,2.0,2011
quiet storm,1.0,2011
pop,266.0,2012
urban contemporary,136.0,2012
dance,129.0,2012
rock,82.0,2012
country,70.0,2012
soul,9.0,2012
folk,6.0,2012
funk,1.0,2012
pop,282.0,2013
dance,142.0,2013
urban contemporary,136.0,2013
rock,87.0,2013
country,83.0,2013
soul,10.0,2013
folk,7.0,2013
quiet storm,1.0,2013
adult standards,1.0,2013
pop,251.0,2014
dance,136.0,2014
urban contemporary,115.0,2014
rock,92.0,2014
country,78.0,2014
soul,10.0,2014
folk,4.0,2014
adult standards,1.0,2014
pop,278.0,2015
urban contemporary,165.0,2015
dance,138.0,2015
country,69.0,2015
rock,66.0,2015
folk,12.0,2015
soul,5.0,2015
funk,1.0,2015
pop,300.0,2016
urban contemporary,206.0,2016
dance,134.0,2016
country,72.0,2016
rock,61.0,2016
soul,22.0,2016
funk,10.0,2016
folk,2.0,2016
pop,307.0,2017
urban contemporary,246.0,2017
dance,109.0,2017
country,69.0,2017
rock,47.0,2017
soul,4.0,2017
folk,3.0,2017
funk,1.0,2017
urban contemporary,411.0,2018
pop,335.0,2018
dance,89.0,2018
country,54.0,2018
rock,43.0,2018
soul,3.0,2018
funk,2.0,2018
adult standards,1.0,2018
folk,1.0,2018
urban contemporary,289.0,2019
pop,283.0,2019
dance,94.0,2019
country,63.0,2019
rock,35.0,2019
soul,4.0,2019
adult standards,1.0,2019
folk,1.0,2019
urban contemporary,348.0,2020
pop,260.0,2020
country,61.0,2020
dance,55.0,2020
rock,29.0,2020
adult standards,9.0,2020
soul,4.0,2020
folk,1.0,2020
